No.,Brand,Product,Category,Standard Size,Volume (L),Weight (kg),Est. Price (PHP),Availability
1,Admix,Admix Patching Compound KG,Putty / filler / sealer,1 kg,,1,120,Active
2,Admix,Admix Patching Compound SACK,Putty / filler / sealer,piece / assorted,,,250,Active
3,Alpha Chroma,AC-RS Alpha Chroma Raw Sienna LT,Tint / automotive color,1 L,1,,300,Active
4,Bosny,BY-1 BOSNY Black Spray,Spray paint,400 mL,0.4,,160,Active
5,Bosny,BY-2 BOSNY Flat Black Spray,Spray paint,400 mL,0.4,,160,Active
6,Bosny,BY-3 BOSNY White Spray,Spray paint,400 mL,0.4,,160,Active
7,Bosny,BY-4 BOSNY Signal Red Spray,Spray paint,400 mL,0.4,,160,Active
8,Bosny,BY-5 BOSNY Grass Green Spray,Spray paint,400 mL,0.4,,160,Active
9,Bosny,BY-6 BOSNY Blue Spray,Spray paint,400 mL,0.4,,160,Active
10,Bosny,BY-7 BOSNY Yellow Spray,Spray paint,400 mL,0.4,,160,Active
11,Bosny,BY-8 BOSNY Metallic Brown Spray,Spray paint,400 mL,0.4,,160,Active
12,Bosny,BY-9 BOSNY Silver Spray,Spray paint,400 mL,0.4,,160,Active
13,Boysen,101 Konstruct Gypsum Putty GAL,Putty / filler / sealer,4 L / gal,4,,650,Active
14,Boysen,101 Konstruct Gypsum Putty TIN,Putty / filler / sealer,16 L / tin,16,,2340,Active
15,Boysen,201 Konstrukt Permaplast GAL,Paint / assorted,4 L / gal,4,,800,Active
16,Boysen,201 Konstrukt Permaplast TIN,Paint / assorted,16 L / tin,16,,2800,Active
17,Boysen,AC-60 Acry-Color Black LT,Tint / automotive color,1 L,1,,220,Active
18,Boysen,B-1205 Lacquer Flo,Enamel / lacquer / primer,piece / assorted,,,250,Active
19,Boysen,B-1205 Lacquer Flo BTL,Enamel / lacquer / primer,350 mL bottle,0.35,,100,Active
20,Boysen,B-1250 Clear Gloss Lacquer GAL,Enamel / lacquer / primer,4 L / gal,4,,1100,Active
21,Boysen,B-1250 Clear Gloss Lacquer LT,Enamel / lacquer / primer,1 L,1,,280,Active
